user,file_type,file_format,data_tier,application,data_stream,run_type,file_count,total_file_size_GB,total_event_count,detector.hv_value,artdaq-core.timestamp,artdaq-core.version,artdaq.timestamp,artdaq.version,dune-artdaq.timestamp,dune-artdaq.version,dune-raw-data.timestamp,dune-raw-data.version,dataset.tag,DUNE.campaign,DUNE.poms_campaign_id,DUNE.production_status,DUNE_MC.detector_type,DUNE_MC.electron_lifetime,DUNE_MC.with_cosmics,MC.with_cosmics,detector.hv_status,DUNE.requestid,DUNE.generators,DUNE_MC.beam_flux_ID,DUNE_MC.geometry_version,DUNE_MC.name,DUNE_MC.neutrino_flavors,DUNE_MC.TopVolume,LBNF_MC.HornCurrent,NearDetector_MC.OffAxisPosition,beam.momentum,beam.polarity,DUNE_MC.beam_energy,DUNE_MC.liquid_flow,DUNE_MC.space_charge,MC.liquid_flow,MC.space_charge,data_quality.online_good_run_list,DUNE_MC.generators,art.variation,DUNE.fcl_name,DUNE.fcl_path,DUNE.fcl_version_tag,info.cpusec,info.memory,info.physicsgroup,info.wallsec
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",cosmics,protodune-sp,23312,217207,2674177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",test,protodune-sp,10039,129956,2859655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",test,protodune-sp,4205,77154,885392,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",cosmics,protodune-sp,4352,76056,590438,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",noise,protodune-sp,563,10004,75456,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",out1,physics,5,11,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_04'}",physics,protodune-sp,43744,763992,5764708,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",test,protodune-sp,80785,359456,13054022,,12-Nov-2018-13:38:24-UTC,v3_04_02,12-Nov-2018-13:38:28-UTC,v3_03_00_gamma,12-Nov-2018-13:38:15-UTC,v1_16_00b,12-Nov-2018-13:38:13-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",test,protodune-sp,701,5257,108435,0,12-Nov-2018-13:38:24-UTC,v3_04_02,12-Nov-2018-13:38:28-UTC,v3_03_00_gamma,12-Nov-2018-13:38:15-UTC,v1_16_00b,12-Nov-2018-13:38:13-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",physics,protodune-sp,66544,531313,8257050,,12-Nov-2018-13:38:24-UTC,v3_04_02,12-Nov-2018-13:38:28-UTC,v3_03_00_gamma,12-Nov-2018-13:38:15-UTC,v1_16_00b,12-Nov-2018-13:38:13-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",test,protodune-sp,6957,49673,1289879,180,12-Nov-2018-13:38:24-UTC,v3_04_02,12-Nov-2018-13:38:28-UTC,v3_03_00_gamma,12-Nov-2018-13:38:15-UTC,v1_16_00b,12-Nov-2018-13:38:13-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v08_03_00'}",noise,protodune-sp,1068,3634,142901,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
